IRN,Funding Plan,District,County,FY21,FY22,FY23,FY24,FY25,FY27
45187,Fair School Funding Plan,Ada Exempted Village,Hardin,6075546.04,6066679.027,6333092.156,7072628.97,7437967.72,11029728.25
45187,Ohio House Proposal,Ada Exempted Village,Hardin,6075546.04,6066679.027,6333092.156,7072628.97,7437967.72,8138315.121
49494,Fair School Funding Plan,Adena Local,Ross,5331830.631,9134806.166,8974446.757,8666741.799,8449164.57,9689737.505
49494,Ohio House Proposal,Adena Local,Ross,5331830.631,9134806.166,8974446.757,8666741.799,8449164.57,8343329.347
43489,Fair School Funding Plan,Akron City,Summit,192669243.1,178427560.1,182489894.3,190164483.4,190114753.5,287199262.1
43489,Ohio House Proposal,Akron City,Summit,192669243.1,178427560.1,182489894.3,190164483.4,190114753.5,188740250.9
45906,Fair School Funding Plan,Alexander Local,Athens,11338444.58,10664299.93,10202360.28,9848921.381,9684935.24,12466030.83
45906,Ohio House Proposal,Alexander Local,Athens,11338444.58,10664299.93,10202360.28,9848921.381,9684935.24,9572173.567
45757,Fair School Funding Plan,Allen East Local,Allen,7786586.857,7561959.06,7254864.101,7654314.405,7680949.89,10695800.44
45757,Ohio House Proposal,Allen East Local,Allen,7786586.857,7561959.06,7254864.101,7654314.405,7680949.89,7769889.749
43497,Fair School Funding Plan,Alliance City,Stark,29914340.8,27667664.5,27140833.65,27962398.68,28351679.81,42249742.76
43497,Ohio House Proposal,Alliance City,Stark,29914340.8,27667664.5,27140833.65,27962398.68,28351679.81,29216938.16
46847,Fair School Funding Plan,Amanda-Clearcreek Local,Fairfield,11773927.43,11008715.2,10537150.88,10573585.56,10003271.16,11590557.28
46847,Ohio House Proposal,Amanda-Clearcreek Local,Fairfield,11773927.43,11008715.2,10537150.88,10573585.56,10003271.16,9889068.138
45195,Fair School Funding Plan,Amherst Exempted Village,Lorain,15673458.17,14860032.61,14283325.99,15337632.14,14813113.16,20802129.23
45195,Ohio House Proposal,Amherst Exempted Village,Lorain,15673458.17,14860032.61,14283325.99,15337632.14,14813113.16,14709343.17
49759,Fair School Funding Plan,Anna Local,Shelby,4501310.491,7168633.308,6840406.658,7207564.191,6903053.46,8765559.002
49759,Ohio House Proposal,Anna Local,Shelby,4501310.491,7168633.308,6840406.658,7207564.191,6903053.46,6828677.607
46623,Fair School Funding Plan,Ansonia Local,Darke,6061614.457,6219222.937,6388022.376,7173972.69,7644673.28,11240550.19
